"Clubs","Rang","Pts","J.","G.","N.","P.","Bonus","Pts.M","Pts.E","Diff.","#","Matchs","Total ballons joués","Plaquages défensifs réussis","Plaquages offensifs réussis","Plaquages réussis (%)","Plaquages manqués","Plaquages manqués (%)","Plaquages totaux","Ballons joués au pied","Ballons joués au pied (%)","Ballons joués à la main","Ballons joués à la main (%)","Total passes","Total passes turnover","Saison"
"ASM Clermont",1,88,26,18,1,7,14,735,431,304,13,26,6493,3345,141,86,488,12,4044,533,8,5960,92,3702,328,"2016"
"CA Brive",8,62,26,13,1,12,8,540,545,-5,11,25,4704,2779,145,87,389,12,3367,456,10,4248,90,2343,306,"2016"
"Castres Olympique",6,71,26,15,0,11,11,650,496,154,6,26,4996,3410,161,88,438,11,4069,458,9,4538,91,2657,293,"2016"
"FC Grenoble Rugby",10,47,26,10,0,16,7,605,779,-174,12,25,5750,3097,185,86,463,12,3807,413,7,5337,93,3239,295,"2016"
"Montpellier Hérault Rugby",3,81,26,18,0,8,9,723,569,154,1,27,4996,3325,120,89,372,10,3885,562,11,4434,89,2469,292,"2016"
"Oyonnax Rugby",14,24,26,5,0,21,4,429,847,-418,14,25,5193,3277,121,86,484,12,3956,516,10,4677,90,2788,315,"2016"
"Racing 92",4,81,26,18,1,7,7,614,522,92,4,28,6625,3359,169,88,427,11,4015,485,7,6140,93,3672,338,"2016"
"RC Toulon",2,82,26,16,0,10,18,764,446,318,2,27,6450,2933,143,88,326,9,3480,499,8,5951,92,3755,346,"2016"
"Section Paloise",11,46,26,10,1,15,4,420,675,-255,8,25,5309,3442,93,87,457,11,4059,478,9,4831,91,3033,265,"2016"
"Stade Français Paris",12,41,26,9,0,17,5,543,631,-88,3,25,5389,3191,144,88,379,10,3791,485,9,4904,91,3025,317,"2016"
"Stade Rochelais",9,54,26,11,0,15,10,553,656,-103,7,25,5264,2689,141,87,327,10,3246,474,9,4790,91,2727,282,"2016"
"Stade Toulousain",5,79,26,16,2,8,11,680,393,287,10,26,6454,2630,147,87,295,9,3181,463,7,5991,93,3691,312,"2016"
"SU Agen",13,26,26,5,0,21,6,531,846,-315,9,25,5436,3377,111,87,461,11,4024,382,7,5054,93,2770,318,"2016"
"Union Bordeaux-Bègles",7,67,26,14,2,10,7,552,503,49,5,25,5445,3188,132,88,400,11,3785,547,10,4898,90,3038,299,"2016"
